"timestamp","measured_position","measured_position","measured_position","measured_position","measured_position","measured_position"
1628257087.35186,1.36795365810394,-2.35401136079897,2.06550359725952,-2.83392841020693,-1.41213542619814,8.38895794004202E-05
1628257087.3597,1.36716306209564,-2.35233384767641,2.06356382369995,-2.83376056352724,-1.41157180467714,9.58738019107841E-05
1628257087.36778,1.36642038822174,-2.35060960451235,2.06162405014038,-2.83372480074038,-1.41104394594301,5.99211271037348E-05
1628257087.37591,1.36571371555328,-2.34888393083681,2.0596604347229,-2.83365279832949,-1.41051608720888,8.38895794004202E-05
1628257087.38393,1.36497139930725,-2.3471830526935,2.05772066116333,-2.8334849516498,-1.40995246568789,0.000107858024421
1628257087.39202,1.36419284343719,-2.34546977678408,2.05569744110107,-2.83344918886294,-1.40948516527285,0.000119842254207
1628257087.40007,1.36345016956329,-2.34379274049868,2.0536618232727,-2.83328134218325,-1.4089096228229,8.38895794004202E-05
1628257087.40814,1.36273181438446,-2.34211570421328,2.05168628692627,-2.8332932631122,-1.40835792223086,9.58738019107841E-05
1628257087.41623,1.36198890209198,-2.34040242830385,2.04963827133179,-2.83320933977236,-1.40785438219179,9.58738019107841E-05
1628257087.42429,1.36122298240662,-2.33876115480532,2.04762697219849,-2.83302957216372,-1.4072907606708,0.000131826483994
1628257087.43237,1.36050426959991,-2.33713180223574,2.04562759399414,-2.8330777327167,-1.4067271391498,8.38895794004202E-05
1628257087.44043,1.35976159572601,-2.33535892168154,2.04355573654175,-2.83287364641298,-1.40621120134463,8.38895794004202E-05
1628257087.44856,1.3589950799942,-2.33369380632509,2.04144811630249,-2.83283788362612,-1.40565950075258,9.58738019107841E-05
1628257087.45657,1.3582284450531,-2.33199245134463,2.03942489624023,-2.83277780214419,-1.40509587923159,0.000143810699228
1628257087.46481,1.35751008987427,-2.33029109636416,2.03746128082275,-2.8327057997333,-1.40453225771059,9.58738019107841E-05
1628257087.47278,1.35673153400421,-2.32864982286562,2.03558111190796,-2.83263427415957,-1.40404063860048,0.000131826483994
1628257087.48092,1.35600090026855,-2.32686502138247,2.03366565704346,-2.83247834840883,-1.40354901949038,0.000119842254207
1628257087.48892,1.35522222518921,-2.32522374788393,2.03166580200195,-2.83239442506899,-1.40298539796938,0.000119842254207
